Testrun_Name,Max_Speed,Distance_m,Long_acc,Pass,Unit Test,System Test,Date
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,1,3/27/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,0,3/27/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,0,3/22/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,0,3/24/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,0,3/24/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,0,3/24/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,0,3/24/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,0,3/24/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,0,3/24/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,0,3/24/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,0,3/24/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,0,3/24/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,0,3/24/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,0,3/24/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,0,3/24/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,0,3/24/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,0,3/24/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,0,3/24/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,0,3/24/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,0,3/24/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,0,3/24/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,0,3/24/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,0,3/24/2023
,,,,,,,
LaneChange_ADAC094158_000046.erg,61.613,626.808,3.448,1,1,1,3/24/2023
,,,,,,,
LaneChange_ADAC094159_000047.erg,71.584,626.738,3.448,1,1,1,3/24/2023
,,,,,,,
LaneChange_ADAC094201_000048.erg,81.258,626.756,3.448,1,1,1,3/24/2023
,,,,,,,
LaneChange_ADAC094203_000049.erg,91.383,626.68,3.448,1,1,1,3/24/2023
,,,,,,,
LaneChange_ADAC094205_000050.erg,97.885,626.791,3.448,1,1,1,3/24/2023
,,,,,,,
LaneChange_AMS094149_000035.erg,81.529,696.177,3.315,1,1,1,3/24/2023
,,,,,,,
LaneChange_AMS094150_000036.erg,91.455,696.27,3.315,1,1,1,3/24/2023
,,,,,,,
LaneChange_AMS094152_000037.erg,101.278,696.165,3.315,1,1,1,3/24/2023
,,,,,,,
LaneChange_AMS094154_000038.erg,111.222,696.023,3.315,1,1,1,3/24/2023
,,,,,,,
LaneChange_AMS094156_000039.erg,121.269,696.201,3.315,1,1,1,3/24/2023
,,,,,,,
LaneChange_ISO094131_000013.erg,90.573,629.924,3.251,1,1,1,3/24/2023
,,,,,,,
LaneChange_ISO094133_000014.erg,100.552,629.855,3.251,1,1,1,3/24/2023
,,,,,,,
LaneChange_ISO094135_000015.erg,110.135,630.073,3.251,1,1,1,3/24/2023
,,,,,,,
LaneChange_ISO094136_000016.erg,110.618,630.038,3.251,1,1,1,3/24/2023
,,,,,,,
LaneChange_ISO094138_000017.erg,110.72,629.87,3.251,1,1,1,3/24/2023
,,,,,,,
LaneChange_VDA094140_000024.erg,50.326,364.162,3.303,1,1,1,3/24/2023
,,,,,,,
LaneChange_VDA094142_000025.erg,56.162,371.954,3.303,1,1,1,3/24/2023
,,,,,,,
LaneChange_VDA094144_000026.erg,61.048,376.514,3.303,1,1,1,3/24/2023
,,,,,,,
LaneChange_VDA094145_000027.erg,65.963,379.244,3.303,1,1,1,3/24/2023
,,,,,,,
LaneChange_VDA094147_000028.erg,70.386,318.689,3.303,1,1,1,3/24/2023
,,,,,,,
5.4-3_SteadyState_Without_PO_50kph_20221021_113857.erg,50.022,642.218,0.09,1,1,1,3/24/2023
,,,,,,,
5.4-3_SteadyState_Without_PO_50kph_20221021_113857.erg,50.022,642.218,0.09,1,1,1,3/24/2023
,,,,,,,
LaneChange_ADAC113927_000046.erg,61.613,626.808,3.448,1,1,1,3/31/2023
,,,,,,,
LaneChange_ADAC113929_000047.erg,71.584,626.738,3.448,1,1,1,3/31/2023
,,,,,,,
LaneChange_ADAC113931_000048.erg,81.258,626.756,3.448,1,1,1,3/31/2023
,,,,,,,
LaneChange_ADAC113933_000049.erg,91.383,626.68,3.448,1,1,1,3/31/2023
,,,,,,,
LaneChange_ADAC113935_000050.erg,97.885,626.791,3.448,1,1,1,3/31/2023
,,,,,,,
LaneChange_AMS113918_000035.erg,81.529,696.177,3.315,1,1,1,3/31/2023
,,,,,,,
LaneChange_AMS113920_000036.erg,91.455,696.27,3.315,1,1,1,3/31/2023
,,,,,,,
LaneChange_AMS113921_000037.erg,101.278,696.165,3.315,1,1,1,3/31/2023
,,,,,,,
LaneChange_AMS113923_000038.erg,111.222,696.023,3.315,1,1,1,3/31/2023
,,,,,,,
LaneChange_AMS113925_000039.erg,121.269,696.201,3.315,1,1,1,3/31/2023
,,,,,,,
LaneChange_ISO113900_000013.erg,90.573,629.924,3.251,1,1,1,3/31/2023
,,,,,,,
LaneChange_ISO113901_000014.erg,100.552,629.855,3.251,1,1,1,3/31/2023
,,,,,,,
LaneChange_ISO113903_000015.erg,110.135,630.073,3.251,1,1,1,3/31/2023
,,,,,,,
LaneChange_ISO113905_000016.erg,110.618,630.038,3.251,1,1,1,3/31/2023
,,,,,,,
LaneChange_ISO113907_000017.erg,110.72,629.87,3.251,1,1,1,3/31/2023
,,,,,,,
LaneChange_VDA113909_000024.erg,50.326,364.162,3.303,1,1,1,3/31/2023
,,,,,,,
LaneChange_VDA113911_000025.erg,56.162,371.954,3.303,1,1,1,3/31/2023
,,,,,,,
LaneChange_VDA113913_000026.erg,61.048,376.514,3.303,1,1,1,3/31/2023
,,,,,,,
LaneChange_VDA113914_000027.erg,65.963,379.244,3.303,1,1,1,3/31/2023
,,,,,,,
LaneChange_VDA113916_000028.erg,70.386,318.689,3.303,1,1,1,3/31/2023
LaneChange_ADAC153426_000046.erg,61.613,626.808,3.448,1,1,1,2023-04-11
LaneChange_ADAC153428_000047.erg,71.584,626.738,3.448,1,1,1,2023-04-11
LaneChange_ADAC153430_000048.erg,81.258,626.756,3.448,1,1,1,2023-04-11
LaneChange_ADAC153431_000049.erg,91.383,626.68,3.448,1,1,1,2023-04-11
LaneChange_ADAC153433_000050.erg,97.885,626.791,3.448,1,1,1,2023-04-11
LaneChange_AMS153418_000035.erg,81.529,696.177,3.315,1,1,1,2023-04-11
LaneChange_AMS153419_000036.erg,91.455,696.27,3.315,1,1,1,2023-04-11
LaneChange_AMS153421_000037.erg,101.278,696.165,3.315,1,1,1,2023-04-11
LaneChange_AMS153423_000038.erg,111.222,696.023,3.315,1,1,1,2023-04-11
LaneChange_AMS153424_000039.erg,121.269,696.201,3.315,1,1,1,2023-04-11
LaneChange_ISO142419_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO142422_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO153402_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO153403_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO153405_000015.erg,110.135,630.073,3.251,1,1,1,2023-04-11
LaneChange_ISO153407_000016.erg,110.618,630.038,3.251,1,1,1,2023-04-11
LaneChange_ISO153408_000017.erg,110.72,629.87,3.251,1,1,1,2023-04-11
LaneChange_VDA153410_000024.erg,50.326,364.162,3.303,1,1,1,2023-04-11
LaneChange_VDA153411_000025.erg,56.162,371.954,3.303,1,1,1,2023-04-11
LaneChange_VDA153413_000026.erg,61.048,376.514,3.303,1,1,1,2023-04-11
LaneChange_VDA153415_000027.erg,65.963,379.244,3.303,1,1,1,2023-04-11
LaneChange_VDA153416_000028.erg,70.386,318.689,3.303,1,1,1,2023-04-11
LaneChange_ADAC153426_000046.erg,61.613,626.808,3.448,1,1,1,2023-04-11
LaneChange_ADAC153428_000047.erg,71.584,626.738,3.448,1,1,1,2023-04-11
LaneChange_ADAC153430_000048.erg,81.258,626.756,3.448,1,1,1,2023-04-11
LaneChange_ADAC153431_000049.erg,91.383,626.68,3.448,1,1,1,2023-04-11
LaneChange_ADAC153433_000050.erg,97.885,626.791,3.448,1,1,1,2023-04-11
LaneChange_AMS153418_000035.erg,81.529,696.177,3.315,1,1,1,2023-04-11
LaneChange_AMS153419_000036.erg,91.455,696.27,3.315,1,1,1,2023-04-11
LaneChange_AMS153421_000037.erg,101.278,696.165,3.315,1,1,1,2023-04-11
LaneChange_AMS153423_000038.erg,111.222,696.023,3.315,1,1,1,2023-04-11
LaneChange_AMS153424_000039.erg,121.269,696.201,3.315,1,1,1,2023-04-11
LaneChange_ISO142419_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO142422_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO153402_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO153403_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO153405_000015.erg,110.135,630.073,3.251,1,1,1,2023-04-11
LaneChange_ISO153407_000016.erg,110.618,630.038,3.251,1,1,1,2023-04-11
LaneChange_ISO153408_000017.erg,110.72,629.87,3.251,1,1,1,2023-04-11
LaneChange_VDA153410_000024.erg,50.326,364.162,3.303,1,1,1,2023-04-11
LaneChange_VDA153411_000025.erg,56.162,371.954,3.303,1,1,1,2023-04-11
LaneChange_VDA153413_000026.erg,61.048,376.514,3.303,1,1,1,2023-04-11
LaneChange_VDA153415_000027.erg,65.963,379.244,3.303,1,1,1,2023-04-11
LaneChange_VDA153416_000028.erg,70.386,318.689,3.303,1,1,1,2023-04-11
LaneChange_ADAC153426_000046.erg,61.613,626.808,3.448,1,1,1,2023-04-11
LaneChange_ADAC153428_000047.erg,71.584,626.738,3.448,1,1,1,2023-04-11
LaneChange_ADAC153430_000048.erg,81.258,626.756,3.448,1,1,1,2023-04-11
LaneChange_ADAC153431_000049.erg,91.383,626.68,3.448,1,1,1,2023-04-11
LaneChange_ADAC153433_000050.erg,97.885,626.791,3.448,1,1,1,2023-04-11
LaneChange_AMS153418_000035.erg,81.529,696.177,3.315,1,1,1,2023-04-11
LaneChange_AMS153419_000036.erg,91.455,696.27,3.315,1,1,1,2023-04-11
LaneChange_AMS153421_000037.erg,101.278,696.165,3.315,1,1,1,2023-04-11
LaneChange_AMS153423_000038.erg,111.222,696.023,3.315,1,1,1,2023-04-11
LaneChange_AMS153424_000039.erg,121.269,696.201,3.315,1,1,1,2023-04-11
LaneChange_ISO142419_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO142422_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO153402_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO153403_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO153405_000015.erg,110.135,630.073,3.251,1,1,1,2023-04-11
LaneChange_ISO153407_000016.erg,110.618,630.038,3.251,1,1,1,2023-04-11
LaneChange_ISO153408_000017.erg,110.72,629.87,3.251,1,1,1,2023-04-11
LaneChange_VDA153410_000024.erg,50.326,364.162,3.303,1,1,1,2023-04-11
LaneChange_VDA153411_000025.erg,56.162,371.954,3.303,1,1,1,2023-04-11
LaneChange_VDA153413_000026.erg,61.048,376.514,3.303,1,1,1,2023-04-11
LaneChange_VDA153415_000027.erg,65.963,379.244,3.303,1,1,1,2023-04-11
LaneChange_VDA153416_000028.erg,70.386,318.689,3.303,1,1,1,2023-04-11
LaneChange_ADAC173543_000046.erg,61.613,626.808,3.448,1,1,1,2023-04-11
LaneChange_ADAC173545_000047.erg,71.584,626.738,3.448,1,1,1,2023-04-11
LaneChange_ADAC173546_000048.erg,81.258,626.756,3.448,1,1,1,2023-04-11
LaneChange_ADAC173548_000049.erg,91.383,626.68,3.448,1,1,1,2023-04-11
