Testrun_Name,Max_Speed,Distance_m,Long_acc,Pass,Unit Test,System Test,Date
LaneChange_ADAC173550_000050.erg,97.885,626.791,3.448,1,1,1,2023-04-11
LaneChange_AMS173535_000035.erg,81.529,696.177,3.315,1,1,1,2023-04-11
LaneChange_AMS173536_000036.erg,91.455,696.27,3.315,1,1,1,2023-04-11
LaneChange_AMS173538_000037.erg,101.278,696.165,3.315,1,1,1,2023-04-11
LaneChange_AMS173540_000038.erg,111.222,696.023,3.315,1,1,1,2023-04-11
LaneChange_AMS173541_000039.erg,121.269,696.201,3.315,1,1,1,2023-04-11
LaneChange_ISO173519_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-11
LaneChange_ISO173520_000014.erg,100.552,629.855,3.251,1,1,1,2023-04-11
LaneChange_ISO173522_000015.erg,110.135,630.073,3.251,1,1,1,2023-04-11
LaneChange_ISO173524_000016.erg,110.618,630.038,3.251,1,1,1,2023-04-11
LaneChange_ISO173525_000017.erg,110.72,629.87,3.251,1,1,1,2023-04-11
LaneChange_VDA173527_000024.erg,50.326,364.162,3.303,1,1,1,2023-04-11
LaneChange_VDA173528_000025.erg,56.162,371.954,3.303,1,1,1,2023-04-11
LaneChange_VDA173530_000026.erg,61.048,376.514,3.303,1,1,1,2023-04-11
LaneChange_VDA173532_000027.erg,65.963,379.244,3.303,1,1,1,2023-04-11
LaneChange_VDA173533_000028.erg,70.386,318.689,3.303,1,1,1,2023-04-11
speed_76_LatOff_3.5.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.5.erg,104.072,629.936,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.5.erg,110.486,629.913,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.5.erg,106.129,630.023,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.0.erg,86.571,630.028,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.0.erg,94.578,630.012,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.0.erg,108.136,629.928,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.5.erg,110.71,629.866,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.5.erg,92.576,629.878,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.0.erg,110.487,629.893,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.0.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.5.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.5.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.5.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.5.erg,102.034,630.006,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.5.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.5.erg,110.465,629.837,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.5.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.0.erg,110.465,629.999,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.0.erg,110.72,629.905,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.5.erg,108.136,629.835,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.5.erg,86.571,629.905,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.0.erg,110.711,629.895,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.0.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.5.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.5.erg,84.569,630.014,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.0.erg,96.579,629.916,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.5.erg,110.135,630.073,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.0.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.0.erg,98.582,629.891,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.0.erg,110.135,629.863,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.0.erg,110.486,629.991,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.0.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.5.erg,110.487,629.851,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.0.erg,78.583,500.071,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.0.erg,106.129,629.92,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.0.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.5.erg,88.572,630.006,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.0.erg,92.576,629.94,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.5.erg,110.72,629.87,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.0.erg,102.034,629.85,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.0.erg,100.552,629.974,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.5.erg,96.579,629.929,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.0.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.5.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.5.erg,110.618,630.038,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.0.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.5.erg,94.578,629.883,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.5.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.0.erg,110.618,630.057,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.0.erg,84.569,629.885,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.0.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.5.erg,98.582,630.0,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.0.erg,110.486,629.93,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.0.erg,88.572,629.961,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.5.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.0.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.5.erg,100.552,629.855,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.0.erg,90.573,629.928,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.5.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.0.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.0.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.5.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.5.erg,110.486,629.83,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.0.erg,104.072,629.918,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.5.erg,78.583,500.071,3.251,1,1,1,2023-04-17
s_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.5.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.5.erg,104.072,629.936,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.5.erg,110.486,629.913,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.5.erg,106.129,630.023,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.0.erg,86.571,630.028,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.0.erg,94.578,630.012,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.0.erg,108.136,629.928,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.5.erg,110.71,629.866,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.5.erg,92.576,629.878,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.0.erg,110.487,629.893,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.0.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.5.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.5.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.5.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.5.erg,102.034,630.006,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.5.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.5.erg,110.465,629.837,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.5.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.0.erg,110.465,629.999,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.0.erg,110.72,629.905,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.5.erg,108.136,629.835,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.5.erg,86.571,629.905,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.0.erg,110.711,629.895,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.0.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.5.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.5.erg,84.569,630.014,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.0.erg,96.579,629.916,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.5.erg,110.135,630.073,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.0.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.0.erg,98.582,629.891,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.0.erg,110.135,629.863,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.0.erg,110.486,629.991,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.0.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.5.erg,110.487,629.851,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.0.erg,78.583,500.071,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.0.erg,106.129,629.92,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.0.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.5.erg,88.572,630.006,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.0.erg,92.576,629.94,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.5.erg,110.72,629.87,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.0.erg,102.034,629.85,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.0.erg,100.552,629.974,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.5.erg,96.579,629.929,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.0.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.5.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.5.erg,110.618,630.038,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.0.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.5.erg,94.578,629.883,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.5.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.0.erg,110.618,630.057,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.0.erg,84.569,629.885,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.0.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.5.erg,98.582,630.0,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.0.erg,110.486,629.93,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.0.erg,88.572,629.961,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.5.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.0.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.5.erg,100.552,629.855,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.0.erg,90.573,629.928,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.5.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.0.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.0.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.5.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.5.erg,110.486,629.83,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.0.erg,104.072,629.918,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.5.erg,78.583,500.071,3.251,1,1,1,2023-04-17
s_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.5.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.5.erg,104.072,629.936,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.5.erg,110.486,629.913,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.5.erg,106.129,630.023,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.0.erg,86.571,630.028,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.0.erg,94.578,630.012,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.0.erg,108.136,629.928,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.5.erg,110.71,629.866,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.5.erg,92.576,629.878,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.0.erg,110.487,629.893,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.0.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.5.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.5.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.5.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.5.erg,102.034,630.006,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.5.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.5.erg,110.465,629.837,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.5.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.0.erg,110.465,629.999,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.0.erg,110.72,629.905,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.5.erg,108.136,629.835,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.5.erg,86.571,629.905,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.0.erg,110.711,629.895,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.0.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.5.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.5.erg,84.569,630.014,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.0.erg,96.579,629.916,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.5.erg,110.135,630.073,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.0.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.0.erg,98.582,629.891,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.0.erg,110.135,629.863,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.0.erg,110.486,629.991,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.0.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.5.erg,110.487,629.851,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.0.erg,78.583,500.071,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.0.erg,106.129,629.92,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.0.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.5.erg,88.572,630.006,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.0.erg,92.576,629.94,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.5.erg,110.72,629.87,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.0.erg,102.034,629.85,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.0.erg,100.552,629.974,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.5.erg,96.579,629.929,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.0.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.5.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.5.erg,110.618,630.038,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.0.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.5.erg,94.578,629.883,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.5.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.0.erg,110.618,630.057,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.0.erg,84.569,629.885,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.0.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.5.erg,98.582,630.0,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.0.erg,110.486,629.93,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.0.erg,88.572,629.961,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.5.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.0.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.5.erg,100.552,629.855,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.0.erg,90.573,629.928,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.5.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.0.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.0.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.5.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.5.erg,110.486,629.83,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.0.erg,104.072,629.918,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.5.erg,78.583,500.071,3.251,1,1,1,2023-04-17
s_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.5.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.5.erg,104.072,629.936,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.5.erg,110.486,629.913,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.5.erg,106.129,630.023,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.0.erg,86.571,630.028,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.0.erg,94.578,630.012,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.0.erg,108.136,629.928,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.5.erg,110.71,629.866,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.5.erg,92.576,629.878,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.0.erg,110.487,629.893,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.0.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.5.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_82_LatOff_3.5.erg,82.568,499.946,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.5.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.5.erg,102.034,630.006,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.5.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.5.erg,110.465,629.837,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.5.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_112_LatOff_3.0.erg,110.465,629.999,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.0.erg,110.72,629.905,3.251,1,1,1,2023-04-17
speed_108_LatOff_3.5.erg,108.136,629.835,3.251,1,1,1,2023-04-17
speed_86_LatOff_3.5.erg,86.571,629.905,3.251,1,1,1,2023-04-17
speed_122_LatOff_3.0.erg,110.711,629.895,3.251,1,1,1,2023-04-17
speed_60_LatOff_3.0.erg,60.725,500.035,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.5.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.5.erg,84.569,630.014,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.0.erg,96.579,629.916,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.5.erg,110.135,630.073,3.251,1,1,1,2023-04-17
speed_72_LatOff_3.0.erg,72.646,500.054,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.0.erg,98.582,629.891,3.251,1,1,1,2023-04-17
speed_110_LatOff_3.0.erg,110.135,629.863,3.251,1,1,1,2023-04-17
speed_116_LatOff_3.0.erg,110.486,629.991,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.0.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_118_LatOff_3.5.erg,110.487,629.851,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.0.erg,78.583,500.071,3.251,1,1,1,2023-04-17
speed_106_LatOff_3.0.erg,106.129,629.92,3.251,1,1,1,2023-04-17
speed_80_LatOff_3.0.erg,80.577,500.053,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.5.erg,88.572,630.006,3.251,1,1,1,2023-04-17
speed_92_LatOff_3.0.erg,92.576,629.94,3.251,1,1,1,2023-04-17
speed_124_LatOff_3.5.erg,110.72,629.87,3.251,1,1,1,2023-04-17
speed_102_LatOff_3.0.erg,102.034,629.85,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.0.erg,100.552,629.974,3.251,1,1,1,2023-04-17
speed_96_LatOff_3.5.erg,96.579,629.929,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.0.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.5.erg,90.573,629.924,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.5.erg,110.618,630.038,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.0.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_94_LatOff_3.5.erg,94.578,629.883,3.251,1,1,1,2023-04-17
speed_68_LatOff_3.5.erg,68.66,500.025,3.251,1,1,1,2023-04-17
speed_120_LatOff_3.0.erg,110.618,630.057,3.251,1,1,1,2023-04-17
speed_84_LatOff_3.0.erg,84.569,629.885,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.0.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_98_LatOff_3.5.erg,98.582,630.0,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.0.erg,110.486,629.93,3.251,1,1,1,2023-04-17
speed_88_LatOff_3.0.erg,88.572,629.961,3.251,1,1,1,2023-04-17
speed_70_LatOff_3.5.erg,70.702,500.015,3.251,1,1,1,2023-04-17
speed_76_LatOff_3.0.erg,76.595,499.894,3.251,1,1,1,2023-04-17
speed_100_LatOff_3.5.erg,100.552,629.855,3.251,1,1,1,2023-04-17
speed_90_LatOff_3.0.erg,90.573,629.928,3.251,1,1,1,2023-04-17
speed_74_LatOff_3.5.erg,74.61,500.014,3.251,1,1,1,2023-04-17
speed_64_LatOff_3.0.erg,64.689,500.036,3.251,1,1,1,2023-04-17
speed_62_LatOff_3.0.erg,62.706,499.955,3.251,1,1,1,2023-04-17
speed_66_LatOff_3.5.erg,66.674,500.032,3.251,1,1,1,2023-04-17
speed_114_LatOff_3.5.erg,110.486,629.83,3.251,1,1,1,2023-04-17
speed_104_LatOff_3.0.erg,104.072,629.918,3.251,1,1,1,2023-04-17
speed_78_LatOff_3.5.erg,78.583,500.071,3.251,1,1,1,2023-04-17
s_000013.erg,90.573,629.924,3.251,1,1,1,2023-04-17
